id,Schl_Code,SchoolName,Overall Accountability Score,Overall Accountability Rating,School Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,PercentLimitedEnglishProficient,PercentSchoolChoiceProgram,Percent Open Enrollment,SchoolStudentAchievementScore,SchoolELAAchievementScore,SchoolMathematicsAchievementScore,SchoolStudentGrowthScore,SchoolELAGrowthScore,SchoolMathematicsGrowthScore,SchoolClosingGapsScore,SchoolELAGapScore,SchoolMathematicsGapScore,School4YearGraduationGapScore,School6YearGraduationGapScore,SchoolGraduationGapScore,SchoolOn-TrackandPostsecondaryReadinessScore,SchoolGraduationRateScore,SchoolAttendanceRateScore,SchoolThird-GradeELAAchievementScore,SchoolEighth-GradeMathematicsAchievementScore,SchoolStudentAchievementMaxScore,SchoolELAAchievementMaxScore,SchoolMathematicsAchievementMaxScore,SchoolStudentGrowthMaxScore,SchoolELAGrowthMaxScore,SchoolMathematicsGrowthMaxScore,SchoolClosingGapsMaxScore,SchoolELAAchievementGapMaxScore,SchoolMathematicsAchievementGapMaxScore,SchoolGraduationGapMaxScore,SchoolOn-TrackandPostsecondaryReadinessMaxScore,SchoolGraduationRateMaxScore,SchoolAttendanceRateMaxScore,SchoolThird-GradeELAAchievementMaxScore,SchoolEighth-GradeMathematicsAchievementMaxScore,StateStudentAchievementScore,StateELAAchievementScore,StateMathematicsAchievementScore,StateStudentGrowthScore,StateELAGrowthScore,StateMathematicsGrowthScore,StateClosingGapsScore,StateELAAchievementGapsScore,StateMathematicsAchievementGapsScore,StateGraduationGapsScore,StateOn-TrackandPostsecondaryReadinessScore,StateGraduationRateScore,StateAttendanceRateScore,StateThird-GradeELAAchievementScore,StateEighth-GradeMathematicsAchievementScore,StateStudentAchievementMaxScore,StateELAAchievementMaxScore,StateMathematicsAchievementMaxScore,StateStudentGrowthMaxScore,StateELAGrowthMaxScore,StateMathematicsGrowthMaxScore,StateClosingGapsMaxScore,StateELAAchievementGapsMaxScore,StateMathematicsAchievementGapsMaxScore,State4YearGraduationGapsMaxScore,State6YearGraduationGapsMaxScore,StateGraduationGapsMaxScore,StateOn-TrackandPostsecondaryReadinessMaxScore,StateGraduationRateMaxScore,StateAttendanceRateMaxScore,StateThird-GradeELAAchievementMaxScore,StateEighth-GradeMathematicsAchievementMaxScore,StudentEngagementIndicatorsDeduction,AbsenteeismRateDeduction,DropoutRateDeduction,TestPartcipationELA2019AllStudents,TestPartcipationELAMULTI-YEARAllStudents,TestPartcipationMathematics2019AllStudents,TestPartcipationMathematicsMULTI-YEARAllStudents,Subgroupwithlowesttestparticipationrate2019,TestPartcipationELA2019lowestratesubgroup,TestPartcipationELAMULTI-YEARlowestratesubgroup,TestPartcipationMathematics2019lowestratesubgroup,TestPartcipationMathematicsMULTI-YEARlowestratesubgroup,ScoreweightingAchievementPriorityArea,ScoreweightingGrowthPriorityArea,ScoreweightingClosingGapsPriorityArea,ScoreweightingOntrackPriorityArea,SchoolPercentProficientELA2015,StatePercentProficientELA2015,SchoolPercentProficientMathematics2015,StatePercentProficientMathematics2015,SchoolPercentProficientELA2016,StatePercentProficientELA2016,SchoolPercentProficientMathematics2016,StatePercentProficientMathematics2016,SchoolPercentProficientELA2017,StatePercentProficientELA2017,SchoolPercentProficientMathematics2017,StatePercentProficientMathematics2017,SchoolPercentProficientELA2018,StatePercentProficientELA2018,SchoolPercentProficientMathematics2018,StatePercentProficientMathematics2018,SchoolPercentProficientELA2019,StatePercentProficientELA2019,SchoolPercentProficientMathematics2019,StatePercentProficientMathematics2019
3,EC500,Sam Davey Elementary School,78.6,Exceeds Expectations,353,0.30%,7.40%,0.80%,5.70%,0.00%,81.00%,4.80%,13.90%,40.20%,4.20%,,2.00%,75,35.6,39.4,72.7,34.9,37.8,76.6,37,39.6,NA,NA,NA,90.3,NA,75.8,14.5,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,99.60%,99.40%,99.60%,Lowest Subgroup Rate: SwD,96.70%,98.00%,96.70%,98.00%,21.50%,28.50%,25.00%,25.00%,0.634,0.502,0.597,0.424,0.492,0.425,0.565,0.405,0.51,0.434,0.582,0.405,0.462,0.423,0.565,0.418,0.413,0.406,0.551,0.41
5,EC100,Flynn Elementary School,79.1,Exceeds Expectations,282,0.00%,8.20%,2.10%,6.40%,0.70%,75.50%,7.10%,14.20%,52.10%,4.60%,,1.10%,74.4,35.1,39.3,76.5,33,43.5,NA*,NA,NA,NA,NA,NA,88.7,NA,74.9,13.8,NA,100,50,50,100,50,50,NA,NA,NA,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.30%,98.90%,99.30%,98.90%,Lowest Subgroup Rate: SwD,95.70%,94.40%,95.70%,94.40%,20.40%,54.60%,NA,25.00%,0.558,0.502,0.496,0.424,0.493,0.425,0.647,0.405,0.535,0.434,0.573,0.405,0.444,0.423,0.528,0.418,0.407,0.406,0.536,0.41
6,EC590,Lakeshore Elementary School,70.1,Meets Expectations,427,0.20%,12.20%,2.60%,5.20%,0.00%,71.20%,8.70%,15.50%,57.40%,5.20%,,0.50%,69.9,32.2,37.7,67.9,33,34.9,56.4,28.3,28.1,NA,NA,NA,87.2,NA,74.1,13.1,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.00%,99.40%,99.00%,99.40%,Lowest Subgroup Rate: SwD,97.10%,97.30%,97.10%,97.30%,10.10%,39.90%,25.00%,25.00%,0.595,0.502,0.578,0.424,0.459,0.425,0.556,0.405,0.464,0.434,0.531,0.405,0.413,0.423,0.516,0.418,0.374,0.406,0.5,0.41
7,EC220,Locust Lane Elementary School,81.8,Exceeds Expectations,248,0.40%,21.80%,0.00%,3.20%,0.00%,69.80%,4.80%,18.10%,56.00%,13.30%,,3.60%,67.3,30.5,36.8,81.3,34,47.3,83.4,39.8,43.6,NA,NA,NA,87.4,NA,75.7,11.7,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.80%,100%,99.80%,Lowest Subgroup Rate: Asian,100%,100%,100%,100%,11.00%,39.00%,25.00%,25.00%,0.477,0.502,0.523,0.424,0.434,0.425,0.598,0.405,0.409,0.434,0.504,0.405,0.465,0.423,0.519,0.418,0.336,0.406,0.541,0.41
8,EC240,Longfellow Elementary School,79.8,Exceeds Expectations,262,1.50%,13.70%,4.20%,7.30%,1.10%,65.60%,6.50%,22.10%,72.10%,8.40%,,2.30%,67.4,31.3,36.1,75.6,35.9,39.7,83,43.6,39.4,NA,NA,NA,86.5,NA,74,12.5,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,100%,100%,100%,Lowest Subgroup Rate: White,100%,100%,100%,100%,5.00%,45.00%,25.00%,25.00%,0.397,0.502,0.433,0.424,0.457,0.425,0.523,0.405,0.434,0.434,0.491,0.405,0.421,0.423,0.512,0.418,0.419,0.406,0.496,0.41
9,EC280,Manz Elementary School,69.7,Meets Expectations,434,0.20%,9.40%,2.30%,11.10%,0.00%,70.50%,6.50%,13.40%,44.70%,7.40%,,0.20%,72.5,35.4,37.1,56.5,25.4,31.1,64.8,31.7,33.1,NA,NA,NA,89,NA,74.2,14.8,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.50%,99.70%,99.50%,99.70%,Lowest Subgroup Rate: White,99.30%,99.60%,99.30%,99.60%,18.50%,31.50%,25.00%,25.00%,0.582,0.502,0.534,0.424,0.429,0.425,0.512,0.405,0.477,0.434,0.528,0.405,0.495,0.423,0.475,0.418,0.459,0.406,0.531,0.41
11,EC350,Meadowview Elementary School,86.7,Significantly Exceeds Expectations,446,0.40%,7.40%,3.60%,5.80%,0.20%,78.30%,4.30%,12.80%,33.60%,4.30%,,1.80%,84.3,40,44.3,98.2,50,48.2,75,37.5,37.5,NA,NA,NA,90,NA,75.5,14.5,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.70%,100%,99.70%,Lowest Subgroup Rate: White,100%,100%,100%,100%,25.90%,24.10%,25.00%,25.00%,0.694,0.502,0.64,0.424,0.624,0.425,0.667,0.405,0.608,0.434,0.605,0.405,0.603,0.423,0.626,0.418,0.57,0.406,0.707,0.41
15,EC422,Northwoods Elementary School,76,Exceeds Expectations,384,0.80%,5.50%,2.90%,6.00%,0.00%,76.80%,8.10%,12.80%,48.70%,2.30%,,2.30%,74.6,36.6,38,61.3,30.2,31.1,83.2,41,42.2,NA,NA,NA,89.9,NA,74.6,15.3,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.20%,100%,99.30%,Lowest Subgroup Rate: White,100%,99.80%,100%,99.80%,15.90%,34.10%,25.00%,25.00%,0.584,0.502,0.509,0.424,0.412,0.425,0.432,0.405,0.529,0.434,0.493,0.405,0.437,0.423,0.522,0.418,0.492,0.406,0.541,0.41
16,EC420,Putnam Heights Elementary School,79.3,Exceeds Expectations,427,0.00%,8.40%,1.90%,5.40%,0.00%,76.10%,8.20%,15.70%,36.80%,5.40%,,1.90%,68.6,34.1,34.5,86,47.3,38.7,74.6,36,38.6,NA,NA,NA,87.3,NA,74.8,12.5,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.60%,99.30%,100%,99.90%,Lowest Subgroup Rate: White,100%,99.60%,100%,99.80%,23.80%,26.20%,25.00%,25.00%,0.635,0.502,0.47,0.424,0.527,0.425,0.468,0.405,0.485,0.434,0.442,0.405,0.467,0.423,0.443,0.418,0.502,0.406,0.502,0.41
17,EC460,Robbins Elementary School,84.2,Significantly Exceeds Expectations,514,0.40%,10.90%,1.80%,8.00%,0.00%,74.70%,4.30%,10.50%,27.20%,3.10%,,1.20%,83.9,40,43.9,72.7,36.8,35.9,87.7,44.8,42.9,NA,NA,NA,90.2,NA,75.4,14.8,NA,100,50,50,100,50,50,100,50,50,NA,100,NA,80,20,NA,65.7,31.6,34.1,66,33,33,73.9,37.9,36,NA,86.8,NA,74.5,12.3,NA,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,20,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.20%,99.50%,99.20%,99.50%,Lowest Subgroup Rate: SwD,94.30%,96.20%,94.30%,96.20%,30.20%,19.80%,25.00%,25.00%,0.692,0.502,0.609,0.424,0.617,0.425,0.69,0.405,0.626,0.434,0.667,0.405,0.559,0.423,0.647,0.418,0.6,0.406,0.624,0.41
